Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2000-01-03,5.338302135467529,5.369339154655253,5.257607249494305,5.276228854822558,3431200
2000-01-04,5.270020008087158,5.387958819982032,5.257605356428214,5.301056258369418,5997600
2000-01-05,5.2576069831848145,5.381753538186458,5.226569965569184,5.276228587569842,10562400
2000-01-06,5.450034141540527,5.512107423334839,5.2513996397987315,5.2638142961575936,15300000
2000-01-07,6.089389324188232,6.108010929865259,5.648668644489213,5.7107419262967865,16160800
2000-01-10,5.983864784240723,6.14525532821402,5.940413862805491,6.139048378464934,9336000
2000-01-11,5.996277332305908,6.089387607635424,5.828679897535167,5.859716150824822,9988000
2000-01-12,5.940410137176514,6.0583489280167235,5.909373134704836,5.946617083032808,6378400
2000-01-13,6.126633644104004,6.151462958248842,5.94041378801772,5.9714500518335,6981600
2000-01-14,6.120426177978516,6.238365803681112,6.108011520416693,6.157670150663984,9292800
2000-01-18,5.859714984893799,6.058349391161386,5.785227082543455,5.983861488811041,5514400
2000-01-19,5.909377098083496,6.002487410216907,5.810059835930832,5.810059835930832,7730400
2000-01-20,6.058352947235107,6.058352947235107,5.810059793659898,5.909377055089982,8457600
2000-01-21,5.797643661499023,6.058351406448659,5.735570388891968,6.058351406448659,12880800
2000-01-24,5.481071472167969,5.766608584616354,5.418998186853102,5.698327591904734,9503200
2000-01-25,5.481071472167969,5.580388728671755,5.418998186853102,5.512107735960135,8416000
2000-01-26,5.468655586242676,5.592802128975422,5.412789263147758,5.412789263147758,8797600
2000-01-27,5.381753921508789,5.493485828968517,5.350716901682508,5.4686565161996885,9053600
2000-01-28,5.2265706062316895,5.425205118582538,5.189326635165905,5.189326635165905,12754400
2000-01-31,5.2638115882873535,5.487275287790118,5.220360692249089,5.226567638370226,4790400
2000-02-01,5.406583786010742,5.505901047221221,5.276229501806704,5.313473474760633,3984000
2000-02-02,5.549352169036865,5.611425459518262,5.450034904266631,5.450034904266631,6660000
2000-02-03,5.499693870544434,5.561767164794371,5.468657602284787,5.499693870544434,13720800
2000-02-04,5.636253356933594,5.642461063284406,5.524521462192619,5.524521462192619,7199200
2000-02-07,5.779022216796875,5.810058475084907,5.543143774432317,5.561765377859056,11616800
2000-02-08,5.561764717102051,5.673496597579547,5.536935410329273,5.561764717102051,8325600
2000-02-09,5.356922149658203,5.630044464739197,5.338299794764882,5.611422109845876,7526400
2000-02-10,5.747983932495117,6.002484679861637,5.6672890725671055,5.747983932495117,20888000
2000-02-11,5.561764717102051,5.872131051761763,5.549350063715662,5.673496597579547,18896000
2000-02-14,5.648667335510254,5.710740602933444,5.599008721571702,5.623838028540979,7276000
2000-02-15,5.896961212158203,6.101803401551013,5.785229315506784,5.797643970690276,16885600
2000-02-16,6.089389324188232,6.207328180757377,5.890754822403996,5.92799879148854,16412800
2000-02-17,6.244570255279541,6.424583475637144,6.1452530345196275,6.157667687114617,12419200
2000-02-18,5.747983932495117,6.207326061009845,5.6859106718850185,6.170082104643787,15170400
2000-02-22,5.841096878051758,5.921791774945686,5.729364957769763,5.76040122342725,5828800
2000-02-23,5.685911178588867,5.810057710872467,5.648667218903787,5.785228404415747,9806400
2000-02-24,5.2265706062316895,5.636254287955314,5.158290371476351,5.623839630933386,13012000
2000-02-25,5.090009689331055,5.251400240456185,5.021729450412634,5.226570924898473,9658400
2000-02-28,5.108631134033203,5.207948378362107,5.0155208386096355,5.065179460774088,8533600
2000-02-29,5.077592372894287,5.158287985069434,5.065177721615817,5.083800077398613,7711200
2000-03-01,5.425205230712891,5.499693174384006,4.947241304355175,5.0775948269143525,12564800
2000-03-02,5.214156150817871,5.462449300856818,5.164497520810082,5.437619985852923,7538400
2000-03-03,5.406583786010742,5.493486389569911,5.170705290635854,5.207949263589784,3794400
2000-03-06,5.214156150817871,5.394169063461388,5.189326835813977,5.394169063461388,4090400
2000-03-07,4.866546630859375,5.127254486083984,4.854131971086775,5.114839826311385,8610400
2000-03-08,4.729981899261475,4.909994712612875,4.605835392719179,4.85412840580377,10363200
2000-03-09,4.8727521896362305,4.92861775509836,4.680324669199198,4.7299832863790305,6700000
2000-03-10,5.052764892578125,5.0651795483338455,4.823094139962528,4.866545056242322,6710400
2000-03-13,4.972070693969727,5.015521616235198,4.866545726644054,4.866545726644054,6282400
2000-03-14,4.972070693969727,5.009314666367513,4.872753434242297,4.953448328905554,3949600
2000-03-15,5.108631134033203,5.139667394020766,4.9162035942807325,4.9348259564576225,12876000
2000-03-16,5.176910877227783,5.282435818338619,4.941032443972801,5.027935024645688,11164000
2000-03-17,5.1272501945495605,5.363128532797603,5.083799300579427,5.263811337745796,9671200
2000-03-20,5.2638115882873535,5.301055538204481,5.133458142442458,5.152079738535972,5468800
2000-03-21,5.363129615783691,5.400373571448855,5.263812400676586,5.263812400676586,4168800
2000-03-22,5.2576069831848145,5.456241471187444,5.164496688068363,5.3383018650706635,5897600
2000-03-23,5.425205230712891,5.425205230712891,5.189326742421025,5.214156056978064,6003200
2000-03-24,5.704534530639648,5.716949186029799,5.406582801276022,5.4189974566661725,8687200
2000-03-27,5.536935329437256,5.6486672082824025,5.499691369822207,5.642460260545043,4664800
2000-03-28,5.499693870544434,5.5803895319346735,5.456242943434799,5.462449893994472,3800800
2000-03-29,5.530730724334717,5.555560041261628,5.41279109006658,5.505901407407806,3594400
2000-03-30,5.688977241516113,5.751083979960613,5.5212894267854145,5.5274997215604165,5237600
2000-03-31,5.924983024597168,5.9311940776966035,5.608239028137849,5.688977411458078,7032800
2000-04-03,6.167200088500977,6.210674430444604,5.893930413561414,5.9001407089223745,7430400
2000-04-04,6.036774635314941,6.160988105177388,5.738662307645067,6.160988105177388,8253600
2000-04-05,5.962244987487793,6.055405444486618,5.869085288627624,5.956034694695155,5006400
2000-04-06,6.1299357414245605,6.16098873298506,5.924983116197326,5.956036865896756,5516000
2000-04-07,6.13614559173584,6.142356644481124,5.9870894235155365,6.117513949777741,5463200
