Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2000-01-03,17.730236053466797,18.28209495696656,17.631184455402735,17.999090391069245,13458200
2000-01-04,17.39063262939453,17.701937688667662,17.31988147955973,17.517984699097177,14510800
2000-01-05,18.33869743347168,18.508500187485307,17.617035728913766,17.659486417417174,17485000
2000-01-06,19.286766052246094,19.428268371044673,18.154747501857475,18.25379912501648,19461600
2000-01-07,19.230154037475586,19.527308735626423,19.01790068165356,19.456557617019083,16603800
2000-01-10,18.961313247680664,19.159416520417626,18.918862546379884,19.060364884049143,8545400
2000-01-11,19.01790428161621,19.300908809616452,18.93300292321614,18.96130337601616,8722600
2000-01-12,18.904695510864258,19.102798607534993,18.749043077765826,18.84809462610119,10314200
2000-01-13,19.34336280822754,19.470714867681853,18.819804341582024,18.904705714551568,12056000
2000-01-14,18.961313247680664,19.357519793154587,18.791510442477552,19.357519793154587,11268800
2000-01-18,19.18770408630371,19.357506777332947,18.64999556471113,18.734896910225746,11929400
2000-01-19,19.371660232543945,19.44241136560656,18.947153434168257,19.074505473680965,13088800
2000-01-20,18.94715118408203,19.300906807384532,18.72074758516843,19.286756582452433,9613400
2000-01-21,19.244298934936523,19.286749594351825,18.862243000198813,19.017895418054916,14343600
2000-01-24,19.07450294494629,19.54146036125432,18.791498450214146,19.343357214941822,12459400
2000-01-25,19.032052993774414,19.49901042782241,18.975452092677685,19.01790276850023,11921600
2000-01-26,18.904695510864258,19.145249271107293,18.72074263538429,19.032047501581157,9298000
2000-01-27,18.33869743347168,18.862255925013695,18.05569284344897,18.862255925013695,10548400
2000-01-28,17.857580184936523,18.33868773350058,17.857580184936523,18.112284181235143,10361000
2000-01-31,18.763206481933594,18.918859024393075,17.6311879913192,17.800990764911358,14612200
2000-02-01,18.833948135375977,18.89054903135006,18.423591639563877,18.86224858336302,10665400
2000-02-02,18.975446701049805,19.216000462360654,18.84809470976759,18.84809470976759,11562800
2000-02-03,18.650005340576172,19.017911363986627,18.126446768799756,18.89055927895993,11610800
2000-02-04,18.310386657714844,18.904695961906516,18.126433777845993,18.904695961906516,11436200
2000-02-07,18.28208351135254,18.39528526684079,17.999079122631912,17.999079122631912,7101200
2000-02-08,17.871736526489258,18.536797188995195,17.815135619041946,18.338694012929597,9372000
2000-02-09,17.360042572021484,17.601944804582438,17.3031243996542,17.47387891675605,12408200
2000-02-10,17.27466583251953,17.687322594581367,17.14659994084517,17.360043093635774,13475600
2000-02-11,16.819318771362305,17.45964816621112,16.548957471315024,17.303123203025855,12465800
2000-02-14,17.402732849121094,17.51656920463456,16.94738742706723,16.961616971506412,9753600
2000-02-15,18.05728530883789,18.341876093847155,17.630399131323994,17.70154682757631,10783600
2000-02-16,18.21381187438965,18.29918911755085,17.84384382069111,17.98613922595978,10264200
2000-02-17,17.730018615722656,17.98615050583743,17.60195267066527,17.98615050583743,11678400
2000-02-18,17.075454711914062,17.616177444458007,17.075454711914062,17.601947898864747,13800600
2000-02-22,17.175052642822266,17.516561560326604,16.961609569382055,17.36003663980378,10854800
2000-02-23,16.990070343017578,17.26043159638218,16.648561391399134,16.87623402581143,8881600
2000-02-24,16.577421188354492,16.719716649198737,16.27860072058158,16.548962096185644,10786400
2000-02-25,16.178985595703125,16.933151151175654,15.937083436400616,16.520494526483137,11800600
2000-02-28,16.733938217163086,17.14659485687204,15.908624937745177,16.164756645150735,11875200
2000-02-29,17.1466007232666,17.217748444110033,16.605878044856535,16.733943942374708,10469200
2000-03-01,17.317350387573242,17.360039008084925,16.662791539727415,17.160825445697068,9884600
2000-03-02,17.53079605102539,17.68732101576669,17.203516579293584,17.303123375038048,9802200
2000-03-03,17.23197364807129,17.416957675672386,16.9046942146232,17.416957675672386,10207800
